subject,RGB_v2_nolmk,RGB_v2_nolmk_lr3e-4
epoch,19,4
p1,1.7922,2.1305
p11,1.6007,1.3363
p13,1.6794,1.2687
p15,2.4273,1.5920
p26,1.7331,0.8395
